numero_siafi;codigo_orgao;unidade_orcamentaria_nome;data_registro_doc_empenho;numero_empenho;ano_empenho;elemento_despesa_codigo;elemento_despesa_descricao;item_despesa_codigo;item_despesa_descricao;fonte_recurso_codigo;fonte_recurso_descricao;razao_social_credor;cnpj_cpf_credor_formatado;valor_pago_nao_processado;valor_pago_processado
1279;1501;SECRETARIA DE ESTADO DE PLANEJAMENTO E GESTAO;2021-02-25;79;2021;36;OUTROS SERVICOS DE TERCEIROS - PESSOA FISICA;11;LOCACAO DE BENS IMOVEIS;10;RECURSOS ORDINARIOS;FAUSTO PERIN MONTE ALTO;482.554.326/04;6476,41;0,0
1333;1501;SECRETARIA DE ESTADO DE PLANEJAMENTO E GESTAO;2021-02-24;77;2021;36;OUTROS SERVICOS DE TERCEIROS - PESSOA FISICA;11;LOCACAO DE BENS IMOVEIS;10;RECURSOS ORDINARIOS;ZENI CARVALHO DE OLIVEIRA E SILVA;240.998.056/20;1728,44;0,0
1341;1501;SECRETARIA DE ESTADO DE PLANEJAMENTO E GESTAO;2021-02-04;51;2021;36;OUTROS SERVICOS DE TERCEIROS - PESSOA FISICA;11;LOCACAO DE BENS IMOVEIS;10;RECURSOS ORDINARIOS;CENIRO MARCOLINO;205.089.726/04;0,0;20699,8
1351;1501;SECRETARIA DE ESTADO DE PLANEJAMENTO E GESTAO;2021-01-27;6;2021;39;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;20;LOCACAO DE BENS IMOVEIS;10;RECURSOS ORDINARIOS;MARIUZZO INCORPORACAO IMOBILIARIA LTDA - ME;86.488.640/0001-08;15606,61;0,0
1355;1501;SECRETARIA DE ESTADO DE PLANEJAMENTO E GESTAO;2021-03-12;128;2021;39;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;20;LOCACAO DE BENS IMOVEIS;10;RECURSOS ORDINARIOS;CLINICA DE MAMOGRAFIA PIRAPORA LTDA;02.128.552/0001-05;14638,27;0,0
1362;1501;SECRETARIA DE ESTADO DE PLANEJAMENTO E GESTAO;2021-01-27;2;2021;36;OUTROS SERVICOS DE TERCEIROS - PESSOA FISICA;11;LOCACAO DE BENS IMOVEIS;10;RECURSOS ORDINARIOS;WOLMAR CAIXETA DE CASTRO;102.095.736/00;12179,36;0,0
1370;1501;SECRETARIA DE ESTADO DE PLANEJAMENTO E GESTAO;2021-01-28;35;2021;36;OUTROS SERVICOS DE TERCEIROS - PESSOA FISICA;11;LOCACAO DE BENS IMOVEIS;10;RECURSOS ORDINARIOS;EDGAR LUCAS DA SILVA JUNIOR;032.676.326/09;487,09;0,0
1385;1501;SECRETARIA DE ESTADO DE PLANEJAMENTO E GESTAO;2021-01-27;5;2021;39;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;20;LOCACAO DE BENS IMOVEIS;10;RECURSOS ORDINARIOS;APACHE NEGOCIOS IMOBILIARIOS LTDA - ME;12.640.565/0001-12;1918,04;0,0
1758;2101;INSTITUTO ESTADUAL DE FLORESTAS;2016-06-08;499;2016;30;MATERIAL DE CONSUMO;26;COMBUSTIVEIS E LUBRIFICANTES PARA VEICULOS AUTOMOTORES;60;RECURSOS DIRETAMENTE ARRECADADOS;IPIRANGA PRODUTOS DE PETROLEO S/A;33.337.122/0001-27;0,0;7,5
2979;1451;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;2021-04-06;444;2021;36;OUTROS SERVICOS DE TERCEIROS - PESSOA FISICA;11;LOCACAO DE BENS IMOVEIS;10;RECURSOS ORDINARIOS;ANGELA MARIA SANTANA CATRAMBY;132.752.916/53;16380,52;0,0
